path,label,source
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\00005c9c-3548-4a8f-9d0b-2dd4aff37fc9.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0020a3db-82d8-47aa-8642-2715d4744db5.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\006cac69-d3f0-47f9-aac9-38702d038ef1.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\00973fac-440e-4a56-b60c-2a06d5fb155d.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\00c4b4bd-c4fe-4114-8953-d92e423d6f45.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\00e4923b-2e51-4fff-8752-1fa9b9d30908.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\00fc3e17-09a3-4963-8f9d-21d0b8560099.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\01266283-7f2d-48a6-bfd8-6b68bb0bd771.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\015bf8e5-341a-455a-898e-8f00a7ed3560.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\017b4eee-9299-4bff-9de1-57cd14798890.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\01aa0cd7-798e-4e2b-b595-39cc2376a259.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\01d6626a-0321-4272-a915-6ead409d449b.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\021ad72f-69b6-46b8-b1ae-af0e2e8e982a.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0232f7e8-167e-4c55-a4a1-1d2e1b23633d.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\024faea6-b02b-4974-acae-2689835ff50b.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0269a34a-6acc-45b3-b5dd-f6e796a0bd01.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\02919221-3f3f-4dc2-88ce-37d12e0eedd3.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\02af72d2-2857-4f21-907f-158c364e8e1b.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\02cd6f32-c76b-4c1b-a70c-8bc26e52e84e.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\02f455d2-eb92-4e27-95e0-66b137593c50.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0323af52-1041-4222-a875-8f2c639aa4d3.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\033fd3bb-8938-4bac-b59f-dba2714c1e22.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\03667b48-7f83-4ed8-8d33-256666e306a2.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\03878f8a-661b-41b3-ac3c-53b3520f2e40.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\03a6e5e2-24eb-428c-a857-26a95d9c92a9.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\03c89351-9fe5-4273-afee-ad3fe203fa2c.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\03e317b3-c503-43f0-8c8a-9ad263519957.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0413d5c5-f5ba-476f-a921-ea5e967692a9.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0433c6fa-cde8-4b39-b3c8-2459744c65b4.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\044768ad-1709-44ba-b041-c2f8cbe4c166.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\04667adc-eb6d-4830-9050-e203b92c0a10.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\04816503-7f2f-42a0-9d28-15a30aa203c7.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\049effc2-dda6-44b8-afb2-45e89ab23ff1.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\04c9de03-8cc8-483f-a664-ab2c9c0208e8.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0501ec6e-d7f7-4d4c-a516-198279e67dfa.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\052a1e93-cdcd-4473-901c-6fefebfe79bf.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\05466c78-d9ca-41d7-8786-19f5701055e5.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\056a8b3d-4b8d-43db-91ce-1178a5de4d6b.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\058a3d46-57de-4dec-96e3-1ee4b9dd82da.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\05b8875b-3c5f-4fb8-9ffc-fd9b1af66e7e.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\05df3a26-3ec8-4aed-934b-c929e4abf5e7.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\05fc6b19-c466-451b-ba73-7337525de459.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\061e92e6-cf6c-4c1f-9727-f228514a7752.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\06402a5d-fc80-4080-b5b8-5d16384ad5ce.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\066bb1c8-3e18-4d09-afd1-78bf1f260451.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\06ac7be5-2324-4040-82ca-d0bc251a596e.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\06ceadeb-ee68-44f1-8da6-310c0663698f.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\06f344ab-83dc-4a09-acf8-658ec988ba0f.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\07388971-8fdc-4863-8479-618c70e236e9.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0751c9d1-4ea8-466e-bb60-6b1cf86c4c9a.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\0768e616-4d49-4b5c-b108-882efa95f08a.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\078eecf8-87ad-4649-9452-876c8d45d5f5.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\07ac42ed-3e08-4e0e-8040-9e06dfac89b4.npy,train_val_call,hagrid_nuevo
data\processed\secuencias_stgcn\hagrid_nuevo\train_val_call\07cc7548-4038-4b85-b44b-e56b2b995daa.npy,train_val_call,hagrid_nuevo
