image_id,image_path,mst_level,dataset
00005c9c-3548-4a8f-9d0b-2dd4aff37fc9,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/00005c9c-3548-4a8f-9d0b-2dd4aff37fc9.jpg,6,hagrid
0020a3db-82d8-47aa-8642-2715d4744db5,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/0020a3db-82d8-47aa-8642-2715d4744db5.jpg,5,hagrid
004ac93f-0f7c-49a4-aadc-737e0ad4273c,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/004ac93f-0f7c-49a4-aadc-737e0ad4273c.jpg,5,hagrid
006cac69-d3f0-47f9-aac9-38702d038ef1,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/006cac69-d3f0-47f9-aac9-38702d038ef1.jpg,6,hagrid
00973fac-440e-4a56-b60c-2a06d5fb155d,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/00973fac-440e-4a56-b60c-2a06d5fb155d.jpg,7,hagrid
00c4b4bd-c4fe-4114-8953-d92e423d6f45,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/00c4b4bd-c4fe-4114-8953-d92e423d6f45.jpg,7,hagrid
00e4923b-2e51-4fff-8752-1fa9b9d30908,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/00e4923b-2e51-4fff-8752-1fa9b9d30908.jpg,7,hagrid
00fc3e17-09a3-4963-8f9d-21d0b8560099,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/00fc3e17-09a3-4963-8f9d-21d0b8560099.jpg,6,hagrid
01266283-7f2d-48a6-bfd8-6b68bb0bd771,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/01266283-7f2d-48a6-bfd8-6b68bb0bd771.jpg,5,hagrid
015bf8e5-341a-455a-898e-8f00a7ed3560,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/015bf8e5-341a-455a-898e-8f00a7ed3560.jpg,5,hagrid
017b4eee-9299-4bff-9de1-57cd14798890,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/017b4eee-9299-4bff-9de1-57cd14798890.jpg,6,hagrid
01aa0cd7-798e-4e2b-b595-39cc2376a259,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/01aa0cd7-798e-4e2b-b595-39cc2376a259.jpg,6,hagrid
01d6626a-0321-4272-a915-6ead409d449b,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/01d6626a-0321-4272-a915-6ead409d449b.jpg,5,hagrid
01f1417f-4899-4a53-a6d3-6156c33a204d,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/01f1417f-4899-4a53-a6d3-6156c33a204d.jpg,6,hagrid
021ad72f-69b6-46b8-b1ae-af0e2e8e982a,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/021ad72f-69b6-46b8-b1ae-af0e2e8e982a.jpg,5,hagrid
0232f7e8-167e-4c55-a4a1-1d2e1b23633d,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/0232f7e8-167e-4c55-a4a1-1d2e1b23633d.jpg,6,hagrid
024faea6-b02b-4974-acae-2689835ff50b,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/024faea6-b02b-4974-acae-2689835ff50b.jpg,6,hagrid
0269a34a-6acc-45b3-b5dd-f6e796a0bd01,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/0269a34a-6acc-45b3-b5dd-f6e796a0bd01.jpg,7,hagrid
02919221-3f3f-4dc2-88ce-37d12e0eedd3,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/02919221-3f3f-4dc2-88ce-37d12e0eedd3.jpg,7,hagrid
02af72d2-2857-4f21-907f-158c364e8e1b,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/02af72d2-2857-4f21-907f-158c364e8e1b.jpg,7,hagrid
02cd6f32-c76b-4c1b-a70c-8bc26e52e84e,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/02cd6f32-c76b-4c1b-a70c-8bc26e52e84e.jpg,7,hagrid
02f455d2-eb92-4e27-95e0-66b137593c50,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/02f455d2-eb92-4e27-95e0-66b137593c50.jpg,6,hagrid
0323af52-1041-4222-a875-8f2c639aa4d3,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/0323af52-1041-4222-a875-8f2c639aa4d3.jpg,6,hagrid
033fd3bb-8938-4bac-b59f-dba2714c1e22,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/033fd3bb-8938-4bac-b59f-dba2714c1e22.jpg,6,hagrid
03667b48-7f83-4ed8-8d33-256666e306a2,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/03667b48-7f83-4ed8-8d33-256666e306a2.jpg,6,hagrid
03878f8a-661b-41b3-ac3c-53b3520f2e40,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/03878f8a-661b-41b3-ac3c-53b3520f2e40.jpg,6,hagrid
03a6e5e2-24eb-428c-a857-26a95d9c92a9,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/03a6e5e2-24eb-428c-a857-26a95d9c92a9.jpg,6,hagrid
03c89351-9fe5-4273-afee-ad3fe203fa2c,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/03c89351-9fe5-4273-afee-ad3fe203fa2c.jpg,6,hagrid
03e317b3-c503-43f0-8c8a-9ad263519957,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/03e317b3-c503-43f0-8c8a-9ad263519957.jpg,6,hagrid
03fc1925-b41d-42d0-b758-0824c1406567,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/03fc1925-b41d-42d0-b758-0824c1406567.jpg,6,hagrid
0413d5c5-f5ba-476f-a921-ea5e967692a9,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/0413d5c5-f5ba-476f-a921-ea5e967692a9.jpg,7,hagrid
0433c6fa-cde8-4b39-b3c8-2459744c65b4,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/0433c6fa-cde8-4b39-b3c8-2459744c65b4.jpg,6,hagrid
044768ad-1709-44ba-b041-c2f8cbe4c166,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/044768ad-1709-44ba-b041-c2f8cbe4c166.jpg,5,hagrid
04667adc-eb6d-4830-9050-e203b92c0a10,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/04667adc-eb6d-4830-9050-e203b92c0a10.jpg,6,hagrid
04816503-7f2f-42a0-9d28-15a30aa203c7,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/04816503-7f2f-42a0-9d28-15a30aa203c7.jpg,6,hagrid
049effc2-dda6-44b8-afb2-45e89ab23ff1,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/call/049effc2-dda6-44b8-afb2-45e89ab23ff1.jpg,5,hagrid
