image_id,image_path,mst_level,mst_block,source
0014d37f-0746-44be-b4fe-5b4b5237d1f6-checkpoint,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/.ipynb_checkpoints/0014d37f-0746-44be-b4fe-5b4b5237d1f6-checkpoint.jpg,6,medio,real_image_classifier
03554bfc-7400-4bd2-b0da-b2898430c2b0-checkpoint,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/.ipynb_checkpoints/03554bfc-7400-4bd2-b0da-b2898430c2b0-checkpoint.jpg,6,medio,real_image_classifier
0014d37f-0746-44be-b4fe-5b4b5237d1f6,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/0014d37f-0746-44be-b4fe-5b4b5237d1f6.jpg,6,medio,real_image_classifier
00294a91-57f8-4339-95d4-fcba1a0e346d,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/00294a91-57f8-4339-95d4-fcba1a0e346d.jpg,6,medio,real_image_classifier
004b2e2f-c634-48aa-8ac8-eba23ee19d91,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/004b2e2f-c634-48aa-8ac8-eba23ee19d91.jpg,7,medio,real_image_classifier
005f8114-43b3-4424-948e-721b7a22dd1d,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/005f8114-43b3-4424-948e-721b7a22dd1d.jpg,5,medio,real_image_classifier
007782f1-1b03-438b-b087-2b4b1032e249,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/007782f1-1b03-438b-b087-2b4b1032e249.jpg,6,medio,real_image_classifier
00deaaa2-601c-47e9-8e51-5a07427027b2,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/00deaaa2-601c-47e9-8e51-5a07427027b2.jpg,5,medio,real_image_classifier
00df019b-8526-4ec1-8ca6-3859b9fb8d9b,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/00df019b-8526-4ec1-8ca6-3859b9fb8d9b.jpg,6,medio,real_image_classifier
010c29a5-6013-4f31-8daf-4d0dc32145cc,/home/mateo/PRACTICAS/balanceo_datasets/datasets/hagrid_images/no_gesture/010c29a5-6013-4f31-8daf-4d0dc32145cc.jpg,6,medio,real_image_classifier
